"ID","Naive B cells","Memory B cells","Plasma cells","CD8 T cells","Naive CD4 T cells","Resting CD4 memory T cells","Activated CD4 memory T cells","Follicular helper T cells","Regulatory T cells","Gamma delta T cells","Resting NK cells","Activated NK cells","Monocytes","M0 Macrophages","M1 Macrophages","M2 Macrophages","Resting dendritic cells","Activated dendritic cells","Resting mast cells","Activated mast cells","Eosinophils","Neutrophils"
"SEQC_NB059",0.193300017798278,0,0,0.136065187486738,0,0.134007473689716,0,0.157311012054729,0.0432506917100938,0,0.0319758989430586,0,0.017806052160557,0.0740222622824032,0.0245695190913939,0.170384559138819,0,0.00210909268900075,0,0.0151982329552126,0,0
"SEQC_NB060",0.0872855500058815,0,0,0.176685643078084,0,0.216424030323043,0,0.0554803031691082,0.010974242155642,0,0.0384473776153786,0,0.0252240323610747,0,0.0164608266012059,0.359947758961757,0.00512295272977772,0,0,0,0.00794728299904745,0
"SEQC_NB061",0.0616868368278134,0,0,0.11437618143001,0,0.124654371256278,0,0.0873017404325642,0.0590267743139176,0,0.0187763576737072,0,0.00894329573705484,0.283723480526349,0.110225439058893,0.114358631107034,0,0,0.0169268916363773,0,0,0
"SEQC_NB062",0.0865352556441858,0,0,0.237288559043755,0.113054476726224,0.0464075530097862,0,0.0585641782097412,0.0537870426738323,0,0.0524045865106636,0,0.0348314009312942,0.105468849561676,0.0156963954672413,0.152022266022816,0,0.0207931381564771,0,0.022450384517855,0.00069591352445206,0
"SEQC_NB063",0.00100727745974341,0.00669440881056994,0,0.012870411117839,0,0.341755826545359,0,0.104680773491339,0.0175843706820728,0,0.0303386788648816,0.0209395019257358,0.0238345119823473,0.270737323799762,0,0.14098743989139,0,0,0.0285694754289611,0,0,0
"SEQC_NB064",0.00436777749947888,0.00320311519587219,0,0.106810559925266,0,0.268901658448916,0,0.0981155353370938,0.0547661723199906,0,0.00278025001447137,0.00943989415228383,0,0.27950616609658,0.0187414211326756,0.122607890789486,0,0,0.0307595590878854,0,0,0
"SEQC_NB065",0.0889182707967721,0.0197305969198559,0.00267438821209663,0.139245826530129,0.0888215972024622,0.107865083849732,0.0113958051921129,0.00636426112144183,0.0693533711692801,0,0.0458836884025829,0,0.0491416958304815,0.0433971303391009,0.0451268464420035,0.257855545191684,0,0.0108741900161779,0.013351702784086,0,0,0
"SEQC_NB066",0.0830573527497863,0,0,0.15085472927879,0.0261839632507579,0.155524104307088,0,0.0191878787250161,0.0818790166141755,0,0.0267330186718579,0,0.0286429357210874,0.228010229151824,0.0590193628599534,0.140907408669664,0,0,0,0,0,0
"SEQC_NB067",0.00875796543117552,0,0.0276783722203075,0,0,0.279866091536298,0,0.101423818742495,0.0651886339395293,0,0.0528258758274905,0.0140376562499069,0,0.388471391773954,0,0.0523726116102443,0.00767903236947669,0,0.00169855029912248,0,0,0
"SEQC_NB068",0.0188158195750363,0.00109524431043828,0.00048177050310735,0.0393854528455531,0,0.324112798323869,0,0.0393055956316094,0.0226834742920602,0,0,0.0585922743746672,0.0529901092005801,0.173830948732417,0,0.134123827731648,0.028651207838087,0,0.101121096037527,0,0.00481038060339924,0
"SEQC_NB069",0.366044279275305,0,0,0.119132344868614,0,0.14479516352815,0,0.0700247107828177,0.0725791350787527,0,0.00607440200279571,0.00861390155582549,0.0249578467091599,0.0336553401624033,0.0226210769915077,0.131501799044668,0,0,0,0,0,0
"SEQC_NB070",0.138046183789268,0.0268733634715185,0,0.19105120884395,0.106078434517049,0.0839335520499572,0,0.025742013231256,0.0589099913530158,0,0.0336883842562054,0,0.0165909247305942,0.12417991927174,0.030731863306322,0.164174161179123,0,0,0,0,0,0
"SEQC_NB071",0.156375363166102,0,0.012502180164796,0.133468833373583,0,0.0377697533894816,0,0.0520578202063444,0.0771223017166492,0,0.00149897606012599,0.0184668684197239,0.0228182186992335,0.210257595174937,0.0314021036756088,0.246259985953414,0,0,0,0,0,0
"SEQC_NB072",0.0127149354898429,0,0.00166169227386095,0.0667033632248851,0,0.247549509440004,0,0.139588295813594,0.0441778459982186,0,0.0047837049580726,0.0313198185678447,0,0.298578152590365,0.0224779152674998,0.106538439607742,0,0,0.0239063267680705,0,0,0
